Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k213573j/manifest.json,,,ark:/12148/bpt6k213573j,Paris ,Salon ,Catalogue illustré du Salon contenant environ 300 reproductions d'après les dessins originaux des artistes ,1884,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k213574x/manifest.json,,,ark:/12148/bpt6k213574x,Paris ,Salon ,Catalogue illustré du Salon contenant environ 300 reproductions d'après les dessins originaux des artistes ,1885,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2135759/manifest.json,,,ark:/12148/bpt6k2135759,Paris ,Salon ,Catalogue illustré du Salon contenant environ 300 reproductions d'après les dessins originaux des artistes ,1886,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2024955/manifest.json,,,ark:/12148/bpt6k2024955,Paris ,Salon ,Exposition des beaux-arts. Salon de 1887. Catalogue illustré. Peinture & Sculpture,1887,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110428c/manifest.json,,,ark:/12148/bpt6k110428c,Paris ,Salon ,Exposition des beaux-arts. Salon de 1888. Catalogue illustré. Peinture & Sculpture,1888,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202497x/manifest.json,,,ark:/12148/bpt6k202497x,Paris ,Salon ,Exposition des beaux-arts. Salon de 1889. Catalogue illustré. Peinture & Sculpture,1889,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2024989/manifest.json,,,ark:/12148/bpt6k2024989,Paris ,Salon ,Exposition des beaux-arts. Salon de 1890. Catalogue illustré. Peinture & Sculpture,1890,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110429r/manifest.json,,,ark:/12148/bpt6k110429r,Paris ,Salon ,Exposition des beaux-arts. Salon de 1891. Catalogue illustré. Peinture & Sculpture,1891,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110430p/manifest.json,,,ark:/12148/bpt6k110430p,Paris ,Salon ,Exposition des beaux-arts. Salon de 1892. Catalogue illustré. Peinture & Sculpture,1892,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202500g/manifest.json,,,ark:/12148/bpt6k202500g,Paris ,Salon ,Exposition des beaux-arts. Salon de 1893. Catalogue illustré. Peinture & Sculpture,1893,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1104312/manifest.json,,,ark:/12148/bpt6k1104312,Paris ,Salon ,Exposition des beaux-arts. Salon de 1894. Catalogue illustré. Peinture & Sculpture,1894,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202501v/manifest.json,,,ark:/12148/bpt6k202501v,Paris ,Salon ,Exposition des beaux-arts. Catalogue illustré de Peinture et Sculpture (dix-Septième Année). Salon de 1895,1895,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/rk:/12148/bpt6k2025027/manifest.json,,,rk:/12148/bpt6k2025027,Paris ,Salon ,Exposition des beaux-arts. Catalogue illustré de Peinture et Sculpture (dix-huitième Année). Salon de 1896,1896,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k206775h/manifest.json,,,ark:/12148/bpt6k206775h,Paris ,Salon ,Exposition des beaux-arts. Catalogue illustré de Peinture et Sculpture (dix-neuvième Année). Salon de 1897,1897,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202503m/manifest.json,,,ark:/12148/bpt6k202503m,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1898. Vingtième Année,1898,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202506r/manifest.json,,,ark:/12148/bpt6k202506r,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1899. Vingt-et-unième Année,1899,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2025040/manifest.json,,,ark:/12148/bpt6k2025040,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1900. Vingt-deuxième Année,1900,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k207012d/manifest.json,,,ark:/12148/bpt6k207012d,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1901. Vingt-troisième Année,1901,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110432f/manifest.json,,,ark:/12148/bpt6k110432f,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1902. Vingt-quatrième Année,1902,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110433t/manifest.json,,,ark:/12148/bpt6k110433t,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1903. Vingt-cinquième Année,1903,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1104346/manifest.json,,,ark:/12148/bpt6k1104346,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1904. ,1904,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110435k/manifest.json,,,ark:/12148/bpt6k110435k,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1905. ,1905,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110436z/manifest.json,,,ark:/12148/bpt6k110436z,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1906. ,1906,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110437b/manifest.json,,,ark:/12148/bpt6k110437b,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1907. ,1907,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30441342/manifest.json,,,ark:/12148/bpt6k30441342,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1908. ,1908,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3045216s/manifest.json,,,ark:/12148/bpt6k3045216s,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1909. ,1909,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3044584b/manifest.json,,,ark:/12148/bpt6k3044584b,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon  ,1910,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3044343q/manifest.json,,,ark:/12148/bpt6k3044343q,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1912. ,1912,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30454137/manifest.json,,,ark:/12148/bpt6k30454137,Paris ,Salon ,Société des artistes français. Catalogue illustré du Salon de 1913. ,1913,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DE 1737 à 1793 : https://gallica.bnf.fr/ark:/12148/cb327720223/date,,,,,,,,,,,,,,,,,,
,,,,,,Salon de Paris ,depuis 1793 : https://gallica.bnf.fr/ark:/12148/cb399593695/date,,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5789880g/manifest.json,,,ark:/12148/bpt6k5789880g,Paris,Museum central des Arts,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1800,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58171652/manifest.json,,,ark:/12148/bpt6k58171652,Paris,Museum central des Arts,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1801,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5789616m/manifest.json,,,ark:/12148/bpt6k5789616m,Paris,Museum central des Arts,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1802,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817511w/manifest.json,,,ark:/12148/bpt6k5817511w,Paris,Musée Napoléon ,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1804,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811640x/manifest.json,,,ark:/12148/bpt6k9811640x,Paris,Musée Napoléon ,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1806,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811642r/manifest.json,,,ark:/12148/bpt6k9811642r,Paris,Musée Napoléon ,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1808,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58180881/manifest.json,,,ark:/12148/bpt6k58180881,Paris,Musée Napoléon ,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1810,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62283245/manifest.json,,,ark:/12148/bpt6k62283245,Paris,Musée Napoléon ,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1812,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6487231s/manifest.json,,,ark:/12148/bpt6k6487231s,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1814,,,,,,,,,,,,,,,,,
